Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,consent,"What is your Prolific ID?

Please not that this response should auto-fill with the correct ID.",Age,Gender,How do you describe yourself? - Prefer to self-describe - Text,Ethnicity,Education,EconKnowl,Politics,Blue,question1,question2,question3,question4,question5,question6,question7,question8,question9,question10 ,PROLIFIC_PID
30/06/2023 19:36,30/06/2023 19:40,IP Address,70.108.18.86,100,248,True,30/06/2023 19:40,R_2CHtUe36Eg2ABMA,,,,,38.894,-77.0365,anonymous,EN-GB,"I consent, begin the study",5c08e1bd3329c500019bba93,25-34 years old,Female,,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",3,Independent,Blue,Strongly disagree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,No opinion,Strongly agree,Strongly agree,5c08e1bd3329c500019bba93
30/06/2023 19:38,30/06/2023 19:41,IP Address,184.57.112.115,100,213,True,30/06/2023 19:41,R_2X7gSAgzOA8hcgH,,,,,40.0181,-83.0117,anonymous,EN-GB,"I consent, begin the study",5b9056617b384b0001d13167,25-34 years old,Female,,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",2,Independent,Blue,Agree,Agree,Strongly agree,Uncertain,Uncertain,Agree,Uncertain,Uncertain,Agree,Disagree,5b9056617b384b0001d13167
30/06/2023 19:35,30/06/2023 19:44,IP Address,50.80.143.109,100,494,True,30/06/2023 19:44,R_1Cf0kYrB9BVGQsu,,,,,41.6006,-93.6296,anonymous,EN-GB,"I consent, begin the study",5c1d569699de680001e285df,55-64 years old,Female,,White or Caucasian,Associates or technical degree,2,Independent,Blue,Uncertain,Disagree,Strongly agree,Disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,5c1d569699de680001e285df
30/06/2023 19:43,30/06/2023 19:45,IP Address,12.206.226.130,100,128,True,30/06/2023 19:45,R_xbU8Xrk0G2u7H3P,,,,,29.7502,-95.471,anonymous,EN-GB,"I consent, begin the study",5783d604900cc80001d2d767,25-34 years old,Non-binary / third gender,,"White or Caucasian,Other",Associates or technical degree,3,Democrat,Blue,Agree,Strongly agree,No opinion,Strongly disagree,Strongly agree,Agree,Uncertain,Agree,No opinion,Strongly disagree,5783d604900cc80001d2d767
30/06/2023 19:47,30/06/2023 19:49,IP Address,68.75.10.11,100,90,True,30/06/2023 19:49,R_1BXjYzz8GtFCEg4,,,,,41.8733,-88.1163,anonymous,EN-GB,"I consent, begin the study",6419ae0434916e5dde92e2f2,25-34 years old,Male,,Other,Bachelor’s degree,4,Independent,Blue,Uncertain,Agree,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Agree,6419ae0434916e5dde92e2f2
30/06/2023 19:49,30/06/2023 19:51,IP Address,173.174.84.167,100,129,True,30/06/2023 19:51,R_2Vr2lRZE48GeRj5,,,,,30.2627,-97.7467,anonymous,EN-GB,"I consent, begin the study",608606a3fe863e64eca952bc,25-34 years old,Female,,Asian,"Some college, but no degree",2,Democrat,Blue,Uncertain,Agree,Uncertain,Disagree,Agree,Agree,Uncertain,Agree,Uncertain,Agree,608606a3fe863e64eca952bc
30/06/2023 19:49,30/06/2023 19:52,IP Address,136.62.53.222,100,180,True,30/06/2023 19:52,R_XX1wfqXwGsj4iOd,,,,,30.2732,-97.7419,anonymous,EN-GB,"I consent, begin the study",5fceb8342eb3f717cf22535d,25-34 years old,Female,,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",5,Democrat,Blue,Agree,Uncertain,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Uncertain,Uncertain,Uncertain,Agree,5fceb8342eb3f717cf22535d
30/06/2023 19:50,30/06/2023 19:54,IP Address,104.186.255.94,100,203,True,30/06/2023 19:54,R_42PbVNg1y3yu4j7,,,,,37.9269,-122.3313,anonymous,EN-GB,"I consent, begin the study",5820ab7820c34d0001e6dff2,25-34 years old,Male,,Asian,Bachelor’s degree,8,Democrat,Blue,Agree,Strongly agree,Strongly agree,Uncertain,Strongly agree,Agree,Strongly agree,Disagree,Agree,Agree,5820ab7820c34d0001e6dff2
30/06/2023 19:52,30/06/2023 19:54,IP Address,71.135.220.244,100,119,True,30/06/2023 19:54,R_3kchmYHa7K3Kkly,,,,,33.8498,-118.0086,anonymous,EN-GB,"I consent, begin the study",56f43221dc03a8000d98dbcd,25-34 years old,Male,,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",2,Democrat,Blue,Uncertain,Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,Uncertain,Agree,Agree,Strongly agree,56f43221dc03a8000d98dbcd
30/06/2023 19:49,30/06/2023 19:54,IP Address,50.80.81.254,100,299,True,30/06/2023 19:54,R_2Uc7NaVGWPtnHV1,,,,,41.2352,-89.3218,anonymous,EN-GB,"I consent, begin the study",60907f06f13b0d2c196099eb,45-54 years old,Female,,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",5,Independent,Blue,Agree,Uncertain,Disagree,Disagree,Agree,Agree,Disagree,Uncertain,Uncertain,Agree,60907f06f13b0d2c196099eb
30/06/2023 19:52,30/06/2023 19:54,IP Address,69.14.31.96,100,147,True,30/06/2023 19:54,R_1QirLwYdCVw4Gp3,,,,,42.5597,-83.1138,anonymous,EN-GB,"I consent, begin the study",5c85d80dfff8430016e9a418,25-34 years old,Male,,Asian,Bachelor’s degree,2,Independent,Blue,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,No opinion,Strongly agree,5c85d80dfff8430016e9a418
30/06/2023 19:52,30/06/2023 19:56,IP Address,75.115.58.117,100,213,True,30/06/2023 19:56,R_2aVMUHGefh3JtE6,,,,,28.2365,-82.3289,anonymous,EN-GB,"I consent, begin the study",60ff14561039e939a18f144d,18-24 years old,Female,,"White or Caucasian,Other","Some college, but no degree",1,Democrat,Blue,Strongly disagree,Disagree,No opinion,Strongly disagree,Agree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly agree,60ff14561039e939a18f144d
30/06/2023 19:54,30/06/2023 19:57,IP Address,131.187.184.122,100,178,True,30/06/2023 19:57,R_da3FI8b7tXf4bh7,,,,,40.2938,-83.0744,anonymous,EN-GB,"I consent, begin the study",6413577eeebd4ef6af933137,45-54 years old,Male,,White or Caucasian,"Some college, but no degree",7,Republican,Blue,Disagree,Uncertain,Uncertain,Disagree,Agree,Uncertain,Disagree,Uncertain,Uncertain,Disagree,6413577eeebd4ef6af933137
30/06/2023 19:55,30/06/2023 19:57,IP Address,99.50.44.197,100,125,True,30/06/2023 19:57,R_3PpLI2Hoao3lVqF,,,,,36.013,-95.9767,anonymous,EN-GB,"I consent, begin the study",5a7d12a1f49c9a0001f33d53,55-64 years old,Male,,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",9,Republican,Blue,Uncertain,Uncertain,Disagree,Strongly agree,Strongly agree,Disagree,Uncertain,Disagree,Strongly disagree,Strongly disagree,5a7d12a1f49c9a0001f33d53
30/06/2023 19:54,30/06/2023 19:57,IP Address,69.112.38.127,100,195,True,30/06/2023 19:57,R_3KZUm857tQoiNz3,,,,,40.9315,-74.348,anonymous,EN-GB,"I consent, begin the study",5c0abcc49f5dfb00011cf6a6,35-44 years old,Female,,White or Caucasian,Bachelor’s degree,5,Republican,Blue,Disagree,Strongly agree,Strongly agree,Uncertain,Uncertain,Strongly agree,Uncertain,Uncertain,Uncertain,Strongly agree,5c0abcc49f5dfb00011cf6a6
30/06/2023 19:54,30/06/2023 19:58,IP Address,173.49.140.15,100,271,True,30/06/2023 19:58,R_2397OTMxGeDFkCq,,,,,40.595,-75.5289,anonymous,EN-GB,"I consent, begin the study",5d41ee2257382300015d1560,45-54 years old,Female,,Other,Bachelor’s degree,4,Independent,Blue,No opinion,No opinion,No opinion,No opinion,Uncertain,No opinion,No opinion,No opinion,Agree,Agree,5d41ee2257382300015d1560
30/06/2023 19:54,30/06/2023 19:59,IP Address,172.56.72.83,100,317,True,30/06/2023 19:59,R_2wgjqGUmSJxziLF,,,,,28.5436,-81.3738,anonymous,EN-GB,"I consent, begin the study",62a3b2b0eb528bfeb2ea2e02,25-34 years old,Male,,"White or Caucasian,Asian,Other","Some college, but no degree",3,Republican,Blue,Uncertain,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Uncertain,Agree,Uncertain,Strongly agree,62a3b2b0eb528bfeb2ea2e02
30/06/2023 19:57,30/06/2023 19:59,IP Address,129.138.172.44,100,141,True,30/06/2023 19:59,R_1KprQxeMVb3ss0I,,,,,34.0527,-106.8895,anonymous,EN-GB,"I consent, begin the study",610f08f3d1314c14931e2829,35-44 years old,Female,,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",6,Independent,Blue,Uncertain,Disagree,Strongly agree,Disagree,Uncertain,Agree,Disagree,Uncertain,Agree,Strongly agree,610f08f3d1314c14931e2829
30/06/2023 19:58,30/06/2023 19:59,IP Address,108.213.212.207,100,90,True,30/06/2023 19:59,R_PNiOO2nAouYbdYt,,,,,39.9914,-83.0034,anonymous,EN-GB,"I consent, begin the study",6283cc51ce852a41ccb0c472,18-24 years old,Female,,Asian,"Some college, but no degree",6,Democrat,Blue,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,6283cc51ce852a41ccb0c472
30/06/2023 19:57,30/06/2023 20:01,IP Address,67.189.191.185,100,225,True,30/06/2023 20:01,R_20V6SDCEYSSK73N,,,,,41.4098,-73.59,anonymous,EN-GB,"I consent, begin the study",5c5c85c6054ae60001d04f67,55-64 years old,Female,,Asian,Bachelor’s degree,6,Democrat,Blue,Agree,Strongly agree,Uncertain,Disagree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,5c5c85c6054ae60001d04f67
30/06/2023 19:58,30/06/2023 20:01,IP Address,172.58.13.13,100,156,True,30/06/2023 20:01,R_XNB81YUFuT0M8rT,,,,,39.7388,-104.9868,anonymous,EN-GB,"I consent, begin the study",5dd7b300a71de875640dc574,45-54 years old,Male,,White or Caucasian,Bachelor’s degree,7,Democrat,Blue,Uncertain,Agree,Agree,Strongly disagree,Strongly agree,Disagree,Disagree,Agree,Uncertain,Agree,5dd7b300a71de875640dc574
30/06/2023 20:00,30/06/2023 20:03,IP Address,172.56.104.100,100,153,True,30/06/2023 20:03,R_2ahiaPX8g4nWWZn,,,,,47.6034,-122.3414,anonymous,EN-GB,"I consent, begin the study",62f48ec3d148eaece3a0c3c7,35-44 years old,Male,,Asian,"Some college, but no degree",4,Democrat,Blue,Uncertain,Uncertain,Agree,Disagree,No opinion,Agree,Uncertain,Uncertain,Agree,Disagree,62f48ec3d148eaece3a0c3c7
30/06/2023 19:57,30/06/2023 20:03,IP Address,100.33.101.251,100,368,True,30/06/2023 20:03,R_spVON2tuyBlquI1,,,,,40.9285,-73.8282,anonymous,EN-GB,"I consent, begin the study",647dde92d730823a9e5c7f0f,55-64 years old,Female,,Other,Bachelor’s degree,9,Independent,Blue,Strongly disagree,Strongly agree,No opinion,Disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Disagree,647dde92d730823a9e5c7f0f
30/06/2023 20:00,30/06/2023 20:04,IP Address,67.21.186.181,100,216,True,30/06/2023 20:04,R_ebbfNUb8h0jodYl,,,,,34.6805,-82.8231,anonymous,EN-GB,"I consent, begin the study",62f196a7aec6f2cfa57f5397,25-34 years old,Male,,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",6,Republican,Blue,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Uncertain,Agree,62f196a7aec6f2cfa57f5397
30/06/2023 20:03,30/06/2023 20:04,IP Address,74.77.192.166,100,72,True,30/06/2023 20:04,R_1FfvVzmMWl6dotX,,,,,44.1407,-76.0634,anonymous,EN-GB,"I consent, begin the study",5c3ed962c2d0b700017cd343,25-34 years old,Female,,White or Caucasian,"Some college, but no degree",6,Republican,Blue,Uncertain,Agree,Uncertain,Agree,Agree,Uncertain,Agree,Uncertain,Agree,Uncertain,5c3ed962c2d0b700017cd343
30/06/2023 19:55,30/06/2023 20:05,IP Address,24.148.1.246,100,590,True,30/06/2023 20:05,R_eKc8mdSUYNFBDaN,,,,,41.8482,-87.6521,anonymous,EN-GB,"I consent, begin the study",62d560526bd2941f33c9dad6,25-34 years old,Male,,Other,Bachelor’s degree,8,Democrat,Blue,Strongly disagree,Strongly agree,Uncertain,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,62d560526bd2941f33c9dad6
30/06/2023 20:00,30/06/2023 20:05,IP Address,76.146.14.62,100,301,True,30/06/2023 20:05,R_3FIN40uBNAl12FB,,,,,47.8022,-122.286,anonymous,EN-GB,"I consent, begin the study",5d4c7acd2799110019400b6a,65+ years old,Female,,Other,"Some college, but no degree",6,Independent,Blue,Uncertain,Disagree,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Agree,Uncertain,Agree,5d4c7acd2799110019400b6a
30/06/2023 20:03,30/06/2023 20:05,IP Address,98.121.203.122,100,162,True,30/06/2023 20:05,R_egnuGhkcll55thD,,,,,33.4987,-80.8466,anonymous,EN-GB,"I consent, begin the study",5f29aacd4eeb0b10914d3dc5,35-44 years old,Male,,Black or African American,Bachelor’s degree,4,Democrat,Blue,Disagree,Agree,Strongly agree,Strongly disagree,Agree,Strongly agree,Disagree,Uncertain,Agree,Agree,5f29aacd4eeb0b10914d3dc5
30/06/2023 20:04,30/06/2023 20:06,IP Address,174.208.192.130,100,105,True,30/06/2023 20:06,R_3OxVFrV6fsLo9gd,,,,,41.8482,-87.6521,anonymous,EN-GB,"I consent, begin the study",595d0331d8bd8d000154e148,35-44 years old,Male,,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",4,Independent,Blue,Uncertain,Agree,Strongly agree,Uncertain,Agree,Strongly agree,Agree,Uncertain,Strongly agree,Strongly agree,595d0331d8bd8d000154e148
30/06/2023 20:04,30/06/2023 20:07,IP Address,76.18.161.205,100,184,True,30/06/2023 20:07,R_2cuQ2f1Y2v5rg9B,,,,,36.1515,-86.792,anonymous,EN-GB,"I consent, begin the study",5c5e2da13035a60001df1f28,25-34 years old,Female,,"White or Caucasian,Black or African American",Bachelor’s degree,7,Democrat,Blue,Uncertain,Strongly agree,Strongly agree,Disagree,No opinion,Uncertain,No opinion,Agree,No opinion,Disagree,5c5e2da13035a60001df1f28
30/06/2023 20:03,30/06/2023 20:07,IP Address,72.107.132.148,100,245,True,30/06/2023 20:07,R_ePU31Nlu4Jml0GZ,,,,,42.3755,-83.2883,anonymous,EN-GB,"I consent, begin the study",648d44a033f95a98dfc4493c,45-54 years old,Male,,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",7,Democrat,Blue,Agree,Strongly agree,Disagree,Uncertain,Strongly agree,Uncertain,Disagree,Agree,Agree,Strongly agree,648d44a033f95a98dfc4493c
30/06/2023 20:01,30/06/2023 20:07,IP Address,63.232.78.154,100,345,True,30/06/2023 20:07,R_PUHT2f5i9Du2zQJ,,,,,33.5132,-112.083,anonymous,EN-GB,"I consent, begin the study",5e0b8d156aab7c39d83797d3,65+ years old,Male,,White or Caucasian,Bachelor’s degree,7,Republican,Blue,Disagree,Disagree,Disagree,Strongly agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,5e0b8d156aab7c39d83797d3
30/06/2023 20:04,30/06/2023 20:07,IP Address,99.73.18.38,100,176,True,30/06/2023 20:07,R_2vY6n8u91W8qh7G,,,,,34.0297,-84.1469,anonymous,EN-GB,"I consent, begin the study",631615e2e62254d0d63d1ab0,25-34 years old,Female,,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",7,Democrat,Blue,Agree,Strongly agree,Agree,Strongly disagree,Agree,Strongly agree,No opinion,Uncertain,Strongly agree,Agree,631615e2e62254d0d63d1ab0
30/06/2023 20:04,30/06/2023 20:07,IP Address,96.233.114.42,100,215,True,30/06/2023 20:07,R_29mKDVVmSIRpmOa,,,,,42.2125,-70.9961,anonymous,EN-GB,"I consent, begin the study",64526a5c7705a67b696255b6,35-44 years old,Female,,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",7,Democrat,Blue,Disagree,Agree,Agree,Strongly disagree,Agree,Strongly agree,Uncertain,Agree,Agree,Strongly disagree,64526a5c7705a67b696255b6
30/06/2023 20:04,30/06/2023 20:07,IP Address,12.19.118.58,100,209,True,30/06/2023 20:07,R_21HsHVVfZo6xP8x,,,,,36.4507,-95.7138,anonymous,EN-GB,"I consent, begin the study",60bcd8d5a4471fbeb477f915,25-34 years old,Male,,Asian,Bachelor’s degree,6,Democrat,Blue,Uncertain,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly agree,Uncertain,Uncertain,Strongly agree,Strongly agree,60bcd8d5a4471fbeb477f915
30/06/2023 20:06,30/06/2023 20:08,IP Address,24.119.237.145,100,132,True,30/06/2023 20:08,R_21AkK8w5FUuEqH5,,,,,33.7174,-85.8404,anonymous,EN-GB,"I consent, begin the study",5f57620f2095071eaf7a8224,25-34 years old,Male,,White or Caucasian,High school diploma or GED,3,Independent,Blue,Uncertain,Agree,Strongly agree,Disagree,Uncertain,Strongly agree,Uncertain,Agree,Strongly agree,Disagree,5f57620f2095071eaf7a8224
30/06/2023 20:06,30/06/2023 20:08,IP Address,104.184.104.185,100,104,True,30/06/2023 20:08,R_D7D2SkZtEgxXo5P,,,,,33.5504,-101.8871,anonymous,EN-GB,"I consent, begin the study",5f483bd8636f062f76e06603,18-24 years old,Female,,White or Caucasian,"Some college, but no degree",3,Democrat,Blue,Uncertain,Agree,Strongly agree,Uncertain,Uncertain,Strongly agree,Uncertain,Uncertain,Agree,Agree,5f483bd8636f062f76e06603
30/06/2023 20:05,30/06/2023 20:09,IP Address,98.208.157.238,100,244,True,30/06/2023 20:09,R_07jLgzQ3UZ4V8Bj,,,,,26.6462,-81.8455,anonymous,EN-GB,"I consent, begin the study",5f7adf44d2ddfa74d5019c3d,25-34 years old,Male,,"White or Caucasian,Asian","Some college, but no degree",7,Independent,Blue,Disagree,Strongly disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly agree,Disagree,5f7adf44d2ddfa74d5019c3d
30/06/2023 20:08,30/06/2023 20:09,IP Address,73.84.130.49,100,90,True,30/06/2023 20:09,R_30d6zBnbA2klt8R,,,,,26.8238,-80.1407,anonymous,EN-GB,"I consent, begin the study",60675b278929f00a78c91c3f,25-34 years old,Male,,White or Caucasian,Bachelor’s degree,9,Independent,Blue,Agree,Agree,Uncertain,Uncertain,Uncertain,Agree,Agree,Agree,Agree,Agree,60675b278929f00a78c91c3f
30/06/2023 20:08,30/06/2023 20:09,IP Address,47.189.235.118,100,90,True,30/06/2023 20:09,R_2XcXTAA8ZqhsF40,,,,,33.107,-97.1598,anonymous,EN-GB,"I consent, begin the study",6202997def1cb18a1337c483,18-24 years old,Female,,White or Caucasian,"Some college, but no degree",6,Democrat,Blue,Uncertain,Agree,Agree,Uncertain,Agree,Strongly agree,No opinion,Uncertain,Uncertain,Disagree,6202997def1cb18a1337c483
30/06/2023 20:07,30/06/2023 20:10,IP Address,66.112.171.16,100,160,True,30/06/2023 20:10,R_2WBcHpur1S1NVU1,,,,,32.5673,-82.3428,anonymous,EN-GB,"I consent, begin the study",628b8ef9ef5432197c27bbc9,25-34 years old,Male,,Black or African American,"Some college, but no degree",7,Independent,Blue,Uncertain,Disagree,Agree,Uncertain,Uncertain,Disagree,Uncertain,Agree,Uncertain,Disagree,628b8ef9ef5432197c27bbc9
30/06/2023 20:09,30/06/2023 20:10,IP Address,65.26.50.99,100,96,True,30/06/2023 20:10,R_cTiarwigiBatSW5,,,,,39.3644,-94.3634,anonymous,EN-GB,"I consent, begin the study",5588ee6ffdf99b304dd48297,35-44 years old,Female,,White or Caucasian,Associates or technical degree,4,Independent,Blue,Agree,Agree,Strongly agree,Uncertain,Uncertain,Strongly agree,No opinion,Strongly agree,Agree,No opinion,5588ee6ffdf99b304dd48297
30/06/2023 20:08,30/06/2023 20:10,IP Address,166.182.80.169,100,151,True,30/06/2023 20:10,R_2rMD6CFeqMoVEPC,,,,,38.5774,-90.6709,anonymous,EN-GB,"I consent, begin the study",60fcb00d25b5d052dd9e8d59,35-44 years old,Female,,White or Caucasian,Bachelor’s degree,3,Democrat,Blue,Uncertain,Agree,Uncertain,Disagree,Agree,Strongly agree,Uncertain,No opinion,Disagree,Agree,60fcb00d25b5d052dd9e8d59
30/06/2023 20:10,30/06/2023 20:13,IP Address,174.209.193.84,100,176,True,30/06/2023 20:13,R_1kTEQtf6XwVkIf4,,,,,33.7474,-84.3747,anonymous,EN-GB,"I consent, begin the study",60c35c4fabca21fb4a0c9f17,35-44 years old,Male,,"White or Caucasian,Black or African American",Bachelor’s degree,6,Independent,Blue,Uncertain,Agree,Agree,Disagree,Agree,Disagree,Disagree,Uncertain,Agree,Strongly agree,60c35c4fabca21fb4a0c9f17
30/06/2023 20:10,30/06/2023 20:13,IP Address,140.82.191.138,100,166,True,30/06/2023 20:13,R_9TQHdfclXvLT4Ax,,,,,35.1349,-106.6402,anonymous,EN-GB,"I consent, begin the study",5e9f5c69290ef80c286040e5,25-34 years old,Male,,White or Caucasian,Bachelor’s degree,4,Independent,Blue,Uncertain,Disagree,Uncertain,Agree,Uncertain,Disagree,Agree,Uncertain,Disagree,Uncertain,5e9f5c69290ef80c286040e5
30/06/2023 20:07,30/06/2023 20:13,IP Address,68.119.212.6,100,347,True,30/06/2023 20:13,R_1o2dhZjuFvVtY99,,,,,35.7113,-82.5467,anonymous,EN-GB,"I consent, begin the study",62bdeca4922726b49ec42dc3,35-44 years old,Male,,White or Caucasian,"Some college, but no degree",6,Democrat,Blue,Disagree,Disagree,Uncertain,Disagree,Strongly agree,Agree,Uncertain,Uncertain,Disagree,Agree,62bdeca4922726b49ec42dc3
30/06/2023 20:12,30/06/2023 20:14,IP Address,68.32.79.179,100,119,True,30/06/2023 20:14,R_2wHSjjXW5Vm0qhg,,,,,42.2807,-83.7801,anonymous,EN-GB,"I consent, begin the study",63f77c99aeb55cf2e2f55d09,35-44 years old,Female,,White or Caucasian,Bachelor’s degree,2,Democrat,Blue,Uncertain,Agree,Strongly agree,Disagree,Uncertain,Agree,Agree,Agree,Agree,Strongly disagree,63f77c99aeb55cf2e2f55d09
30/06/2023 20:12,30/06/2023 20:14,IP Address,107.202.40.120,100,141,True,30/06/2023 20:14,R_BSwNTw5EAmbYssV,,,,,38.8113,-121.2643,anonymous,EN-GB,"I consent, begin the study",5e6439f33b92cf1ccdc575e8,45-54 years old,Male,,Asian,Bachelor’s degree,6,Independent,Blue,Disagree,Uncertain,Agree,Agree,No opinion,Uncertain,No opinion,Uncertain,Disagree,Uncertain,5e6439f33b92cf1ccdc575e8
30/06/2023 20:12,30/06/2023 20:14,IP Address,74.83.232.102,100,125,True,30/06/2023 20:14,R_2aCFcGoy4ASPo1n,,,,,39.1256,-84.5127,anonymous,EN-GB,"I consent, begin the study",5de2b1568f5cd52ecc1b14b8,35-44 years old,Male,,White or Caucasian,High school diploma or GED,7,Democrat,Blue,Disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,Agree,5de2b1568f5cd52ecc1b14b8
